item_group,item_category,item,item_group,item_category,item,item_code
BARANGAN BERBUNGKUS,MENTEGA,MENTEGA SCS (SALTED),1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,CINTAN MI SEGERA PERISA AYAM,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,MAGGI MI SEGERA PERISA KARI,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,MI SEDAP MI GORENG PERISA ASLI,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK PAKET (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,1,1,1,3
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK SAPI CAP QBB,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK SAPI CAP WINDMILL GHEEBLEND,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),ASAM JAWA (BERBIJI) PELBAGAI JENAMA,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),ASAM JAWA (TIDAK BERBIJI) ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),GARAM HALUS BIASA (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),KIUB SUP TOM YAM (MAGGI),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),PERENCAH NASI GORENG IKAN BILIS SERI AJI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),PERENCAH TOM YAM ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CABAI ALAGAPPAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CILI BABAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CILI KIJANG,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI AYAM DAN DAGING ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING ALAGAPPAS,1,1,1,2
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING BABAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ALAGAPPAS,1,1,1,2
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN BABAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI KURMA ALAGAPPAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT ALAGAPPAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT BABAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KURMA AYAM & DAGING ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KURMA BABAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK NASI GORENG CINA ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK PERENCAH SUP ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK REMPAH SUP MAK SITI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK SUP FAIZA,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SUP BUNJUT ADABI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SUP PUNJUT MAK SITI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BIJI KETUMBAR,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BIJI SAWI,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUAH KERAS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUAH PALA,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUAH PELAGA,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUNGA CENGKIH,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUNGA LAWANG,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),HALBA,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),JINTAN MANIS (KASAR),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),KULIT KAYU MANIS,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),LADA HITAM,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),LADA PUTIH,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),REMPAH KURMA (TIDAK BERBUNGKUS),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),REMPAH SUP (TIDAK BERBUNGKUS),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK CILI  (TIDAK BERBUNGKUS),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK KARI DAGING (TIDAK BERBUNGKUS),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK KARI IKAN (TIDAK BERBUNGKUS),1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK KUNYIT (TIDAK BERBUNGKUS),1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI SANDWICH GARDENIA ORIGINAL CLASSIC,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI SANDWICH MASSIMO DENGAN GERMA GANDUM,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI WHOLEMEAL (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA AYAM BRAND,1,1,1,1
