item_group,item_category,item,item_code,unit,item_group,item_category,item,item_code,unit
PRODUK KEBERSIHAN,PENJAGAAN DIRI,BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT),1525,1 batang,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,DEODORAN NIVEA (EXTRA BRIGHTENING),1988,150 ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,DEODORAN NIVEA MAN (BLACK & WHITE INVISIBLE - ORIGINAL),1987,150 ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,DEODORAN REXONA (POWDER DRY BRIGHTENING),1990,50 ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,DEODORAN REXONA MEN (SPORT DEFENSE),1989,50 ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,SABUN MANDIAN DETTOL ANTIBACTERIAL (FRESH),1980,500 ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,SABUN MANDIAN LIFEBUOY (COOL FRESH),1979,300ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,SYAMPU HEAD & SHOULDERS (SMOOTH & SILKY),1984,330 ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,UBAT GIGI COLGATE (PUDINA SEGAR),292,250 g,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),293,250 g,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN DIRI,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),295,160 g,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,DYNAMO POWER GEL (PERFECT CLEAN),2017,2.6kg,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,PELEMBUT PAKAIAN - DOWNY (PREMIUM PARFUM PASSION),1876,800ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,PELUNTUR CLOROX (ORIGINAL),2002,1 liter,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,PENCUCI PELBAGAI GUNA AJAX FABULOSO (LAVENDER),2000,2 liter,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,PENCUCI PELBAGAI GUNA MR MUSCLE (LAVENDER),1999,2 liter,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,SABUN PENCUCI AXION PASTE (LEMON),1538,350 g,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,SABUN PENCUCI GLO (LEMON),1540,900ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,SABUN PENCUCI KUAT HARIMAU (LEMON),1539,400 g,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,SABUN PENCUCI SUNLIGHT (LEMON),2018,900ml,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,SABUN SERBUK BREEZE (POWER CLEAN),1991,750 g,1,1,1,1,1
PRODUK KEBERSIHAN,PENJAGAAN RUMAH,SABUN SERBUK TOP (SUPER COLOUR),1993,750 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,DIAPEX EASY,1970,M70,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,DRYPERS DRYPANTZ,1974,M60,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,DRYPERS WEE WEE DRY (M74),1968,M74,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,FITTI,1971,M60,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,HUGGIES DRY DIAPERS (M72),1969,M72,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,HUGGIES DRY PANTS,1975,M60,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,MAMYPOKO EXTRA DRY,1972,M54,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,PETPET GOLD+,1967,M70,1,1,1,1,1
SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG,PETPET PANTS GOLD+,2015,M60,1,1,1,1,1
SUSU DAN BARANGAN BAYI,MAKANAN BAYI,HEINZ APPLE PUREE,1517,110 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,MAKANAN BAYI,HEINZ FARLEY RUSKS (ORIGINAL),1515,120 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,MAKANAN BAYI,MILNA BISKUT RUSK (ASLI),1966,130g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,MAKANAN BAYI,NESTLE CERELAC BERAS - TIN,1145,500 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,MAKANAN BAYI,NESTLE CERELAC BERAS MERAH & SUSU - TIN,1629,350 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,MAKANAN BAYI,NESTLE CERELAC GANDUM DAN MADU - KOTAK,1628,225g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - TIN,1961,1.5kg,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),1904,850g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,DUMEX DUPRO 2 (RUMUSAN SUSULAN),2001,850g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,DUTCH LADY 123 (BIASA),2009,850g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,DUTCH LADY 456 (BIASA),2010,850g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,ENFAGROW A+ MIND PRO LANGKAH 3 VANILA (KOTAK),2014,500 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,LACTOGEN 1 RUMUSAN BAYI (KOTAK),299,650g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),300,650g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK),1512,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK),1956,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,NAN PRO LANGKAH 2 RUMUSAN SUSULAN (KOTAK),1957,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,NANKID OPTIPRO LANGKAH 3 RUMUSAN UNTUK KANAK-KANAK,1958,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,PEDIASURE (VANILA),1965,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,REFILL ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - KOTAK,1963,550 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,S-26 GOLD SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),1624,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,S-26 SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),1623,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK,1514,600 g,1,1,1,1,1
SUSU DAN BARANGAN BAYI,SUSU BAYI,SUSTAGEN KID 3+ (VANILLA) - KOTAK,1513,600 g,1,1,1,1,1
