item_group,item_category,item,item_code,unit,item_group,item_category,item,item_code,unit
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,1598,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,257,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,1092,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,1599,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,260,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,1093,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,1600,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1940,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1941,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1942,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,263,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,1094,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,1601,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1937,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1938,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1939,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,266,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,1100,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,1101,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,267,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,1095,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,1602,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK SAPI CAP QBB,271,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK SAPI CAP WINDMILL GHEEBLEND,1603,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),ASAM JAWA (BERBIJI) PELBAGAI JENAMA,1489,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),ASAM JAWA (TIDAK BERBIJI) ADABI,1604,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),GARAM HALUS BIASA (PELBAGAI JENAMA),1605,+-350g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),KIUB SUP TOM YAM (MAGGI),2011,6 X 10g,1,1,1,1,1
